japanese,reading,english,type
辛い,karai,spicy; hot,adjective
引く,hiku,to pull; to tug; to lead (e.g. a horse),verb
飲む,nomu,to drink; to gulp; to swallow; to take (medicine),verb
右,migi,right; right-hand side,noun
図書館,toshokan,library,noun
雨,ame,rain,noun
映画,eiga,movie; film,noun
映画館,eigakan,movie theatre; movie theater; cinema,noun
外国人,gaikokujin,foreigner; foreign citizen; foreign national; alien; non-Japanese,noun
英語,eigo,English (language),noun
駅,eki,railway station; train station,noun
遠い,tooi,far; distant; far away; a long way off; in the distance,adjective
鉛筆,enpitsu,pencil,noun
汚い,kitanai,dirty; filthy; foul; unclean,adjective
押す,osu,to push; to press,verb
横,yoko,horizontal (as opposed to vertical); lying down,noun
黄色い,kiiroi,yellow,adjective
ぬるい,nurui,lukewarm; tepid,adjective
音楽,ongaku,music,noun
窓,mado,window,noun
雪,yuki,snow,noun
先,saki,previous; prior; former; first; earlier; some time ago; preceding,noun
先月,sengetsu,last month,noun
先週,senshuu,last week; the week before,noun
先生,sensei,teacher; instructor; master,noun
千,sen,1000; thousand,noun
洗う,arau,to wash; to cleanse; to rinse,verb
洗濯,sentaku,washing; laundry,noun
前,mae,in front (of); before (e.g. the house),noun
全部,zenbu,all; entire; whole; altogether,adverb
切符,kippu,ticket,noun
走る,hashiru,to run,verb
足,ashi,foot; paw; arm (of an octopus squid etc.),noun
早い,hayai,fast; quick; hasty; brisk,adjective
村,mura,village,noun
多い,ooi,many; numerous; a lot,adjective
太い,futoi,fat; thick,adjective
待つ,matsu,to wait,verb
貸す,kasu,to lend; to loan,verb
台所,daidokoro,kitchen,noun
大きな,ookina,big; large; great,adjective
生まれる,umareru,to be born,verb
覚える,oboeru,to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember,verb
角,kado,corner; edge,noun
学校,gakkou,school,noun
学生,gakusei,student (esp. a university student),noun
楽しい,tanoshii,enjoyable; fun; pleasant; happy; delightful,adjective
吹く,fuku,to blow (of the wind),verb
水,mizu,water (esp. cool fresh water e.g. drinking water),noun
水曜日,suiyoubi,Wednesday,noun
晴れ,hare,clear weather; fine weather,noun
晴れる,hareru,to clear up; to clear away; to be sunny; to stop raining,verb
顔,kao,face; visage,noun
生徒,seito,pupil; student; schoolchild,noun
声,koe,voice,noun
西,nishi,west,noun
青,ao,blue; azure,noun
青い,aoi,blue; azure,adjective
静か,shizuka,quiet; silent,adjective
赤い,akai,red; crimson; scarlet; vermilion; vermillion,adjective
切る,kiru,to cut; to cut through; to perform (surgery),verb
切手,kitte,stamp (postage); merchandise certificate,noun
